Date,MSFT RoC
2014-05-07,0.009344598054275233
2014-05-08,0.00545339251743826
2014-05-09,-0.0025227043390515513
2014-05-12,0.010875063227111736
2014-05-13,0.011258443832874665
2014-05-14,-0.004453240969816918
2014-05-15,-0.015904572564612307
2014-05-16,0.005808080808080707
2014-05-19,-0.0020085362791865125
2014-05-20,-0.001761006289308198
2014-05-21,0.016885080645161255
2014-05-22,-0.006195786864931829
2014-05-23,0.0004987531172069293
2014-05-27,0.0017447657028912822
2014-05-28,-0.004478726051256543
2014-05-29,0.008247938015496281
2014-05-30,0.014873574615765772
2014-06-02,-0.003663898387884723
2014-06-03,-0.012257906349595449
2014-06-04,0.0007446016381236209
2014-06-05,0.022073412698412787
2014-06-06,0.006551807813637289
2014-06-09,-0.005062680810028808
2014-06-10,-0.0038769081657379356
2014-06-11,-0.006081245439065963
2014-06-12,-0.006852667645619204
2014-06-13,0.016017742730409124
2014-06-16,0.006548629638612802
2014-06-17,0.004337349397590451
2014-06-18,-0.0007197696737044623
2014-06-19,-0.003361344537815114
2014-06-20,0.004095398699108799
2014-06-23,0.007437619961612407
2014-06-24,-0.005834722552988891
2014-06-25,0.00682716492993185
2014-06-26,-0.007375684035213048
2014-06-27,0.012703739213806298
2014-06-30,-0.013017751479289852
2014-07-01,0.004076738609112507
2014-07-02,0.0007165034631000378
2014-07-03,-0.0023866348448687846
2014-07-07,0.00454545454545463
2014-07-08,-0.005001190759704732
2014-07-09,-0.002632838678793714
2014-07-10,0.00035997120230391033
2014-07-11,0.0097157250809643
2014-07-14,0.001187930624851452
2014-07-15,0.007356430944470915
2014-07-16,0.038398115429917334
2014-07-17,0.01020871143375679
2014-07-18,0.003593083314619383
2014-07-21,0.003244573730140976
2014-07-22,-0.000111520017843314
2014-07-23,0.0008922596475573474
2014-07-24,-0.010474704702473803
2014-07-25,0.0022522522522523403
2014-07-28,-0.01191011235955064
2014-07-29,-0.0019331362292471788
2014-07-30,-0.006984163153697209
2014-07-31,-0.009603359454777083
2014-08-01,-0.0069508804448562556
2014-08-04,0.011899206719552025
2014-08-05,-0.006686649757897123
2014-08-06,-0.00789229340761366
2014-08-07,0.01146467009826857
2014-08-08,-0.000693962526023495
2014-08-11,0.0
2014-08-12,0.007407407407407307
2014-08-13,0.012867647058823373
2014-08-14,0.004310344827586299
2014-08-15,0.01174610345606486
2014-08-18,0.007144451886581749
2014-08-19,0.004876967412990485
2014-08-20,-0.008382969335980484
2014-08-21,0.006006674082313701
2014-08-22,-0.001547987616099089
2014-08-25,0.00044296788482833804
2014-08-26,-0.003652866947088773
2014-08-27,-0.002999666703699666
2014-08-28,0.00022286605749965993
2014-08-29,0.01225490196078427
2014-09-02,-0.007484041382346374
2014-09-03,-0.0028831226436016877
2014-09-04,0.006672597864768592
2014-09-05,0.014361467079098578
2014-09-08,0.012197778261816561
2014-09-09,0.0062405853238647335
2014-09-10,0.0017108639863132602
2014-09-11,0.0034158838599487318
2014-09-12,-0.006489361702127661
2014-09-15,-0.009744083949030924
2014-09-16,0.011245674740484324
2014-09-17,-0.0051325919589391145
2014-09-18,0.0034393809114359186
2014-09-19,0.01799485861182526
2014-09-22,-0.009680134680134733
2014-09-23,-0.010624734381640466
2014-09-24,0.011168384879725046
2014-09-25,-0.022090059473237056
2014-09-26,0.008036490008688002
2014-09-29,0.0006464124111182912
2014-09-30,-0.0017226528854435985
2014-10-01,-0.009922346850733454
2014-10-02,-0.003050108932461937
2014-10-03,0.007211538461538547
2014-10-06,0.0
2014-10-07,-0.012150141028422712
2014-10-08,0.02745442565341527
2014-10-09,-0.019880290722530947
2014-10-10,-0.03969465648854964
2014-10-13,-0.008630479218714626
2014-10-14,0.001832760595647187
2014-10-15,-0.011662474273953727
2014-10-16,-0.011105969458583886
2014-10-17,0.020823584464202183
2014-10-20,0.010314004125601572
2014-10-21,0.01814882032667886
2014-10-22,-0.011140819964349347
2014-10-23,0.014420910319963953
2014-10-24,0.02465570857396715
2014-10-27,-0.004769130717537484
2014-10-28,0.012633413199738763
2014-10-29,0.0027963002796298486
2014-10-30,-0.012226512226512276
2014-10-31,0.01954397394136831
2014-11-03,0.010436634717784665
2014-11-04,0.002740303541315381
2014-11-05,0.006096279167542518
2014-11-06,0.017551190973673192
2014-11-07,-0.000410677618069899
2014-11-10,0.00431388660640919
2014-11-11,-0.0004090816117816587
2014-11-12,-0.0018416206261508972
2014-11-13,0.017015170151701398
2014-11-14,-0.0006047167909696283
2014-11-17,-0.0024203307785396477
2014-11-18,-0.01455721795390208
2014-11-19,-0.010668855149774337
2014-11-20,0.009954375777685653
2014-11-21,-0.014784394250513477
2014-11-24,-0.00812838682784478
2014-11-25,-0.0025215381382643898
2014-11-26,0.005898462186644249
2014-11-28,0.0012565445026178068
2014-12-01,0.016942062330056462
2014-12-02,-0.0032908268202385127
2014-12-03,-0.007841518778374024
2014-12-04,0.015806988352745632
2014-12-05,-0.008599508599508643
2014-12-08,-0.014973151590252032
2014-12-09,-0.0022014886256420674
2014-12-10,-0.01449884429502002
2014-12-11,0.005756929637526609
2014-12-12,-0.004663981344074641
2014-12-15,-0.005963791267305618
2014-12-16,-0.0323548317977288
2014-12-17,0.012843224092117023
2014-12-18,0.03891560996939214
2014-12-19,0.002946127946127808
2014-12-22,0.006714225765841464
2014-12-23,0.009795748228428547
2014-12-24,-0.006398348813209553
2014-12-26,-0.00540091400083087
2014-12-29,-0.008980785296574756
2014-12-30,-0.009062170706006345
2014-12-31,-0.012122501063377311
2015-01-02,0.0066738428417651985
