Date,AAPL RoC
2014-05-07,-0.0037682524729157896
2014-05-08,-0.007092198581560183
2014-05-09,-0.004285714285714226
2014-05-12,0.012434241989478734
2014-05-13,0.0018894662257911143
2014-05-14,0.0
2014-05-15,-0.008486562942008447
2014-05-16,0.014740846409890596
2014-05-19,0.011715089034676662
2014-05-20,0.0004631773969430153
2014-05-21,0.0023148148148146586
2014-05-22,0.0018475750577369165
2014-05-23,0.011065006915629283
2014-05-27,0.018695850433196437
2014-05-28,-0.0022381378692928333
2014-05-29,0.01794526693584575
2014-05-30,-0.00352578228294409
2014-06-02,-0.0070765148164528835
2014-06-03,0.014253897550111416
2014-06-04,0.011418533157663724
2014-06-05,0.0039079461571862595
2014-06-06,-0.002595155709342656
2014-06-09,0.016045099739809165
2014-06-10,0.005548442168160417
2014-06-11,-0.0038200339558573937
2014-06-12,-0.01704303365999138
2014-06-13,-0.010836584308625885
2014-06-16,0.010078878177037787
2014-06-17,-0.0013015184381779399
2014-06-18,0.0013032145960034658
2014-06-19,-0.003470715835141025
2014-06-20,-0.01044841097083149
2014-06-23,-0.0008798944126704455
2014-06-24,-0.006164685160722216
2014-06-25,0.0008861320336730483
2014-06-26,0.00619743249225313
2014-06-27,0.011878574571051459
2014-06-30,0.010000000000000009
2014-07-01,0.0064571674558759895
2014-07-02,-0.00042771599657820403
2014-07-03,0.005990586221651606
2014-07-07,0.020416843896214232
2014-07-08,-0.0062526052521884035
2014-07-09,0.000419463087248495
2014-07-10,-0.0037735849056603765
2014-07-11,0.002104377104376942
2014-07-14,0.012599748005039935
2014-07-15,-0.011613438407299892
2014-07-16,-0.0054553084347460645
2014-07-17,-0.018143459915611837
2014-07-18,0.014611087236785503
2014-07-21,-0.005506141465480674
2014-07-22,0.008517887563884052
2014-07-23,0.026182432432432456
2014-07-24,-0.0016460905349794386
2014-07-25,0.0065952184666118185
2014-07-28,0.013923013923013983
2014-07-29,-0.00646203554119551
2014-07-30,-0.0024390243902440156
2014-07-31,-0.026079869600652006
2014-08-01,0.005439330543933085
2014-08-04,-0.005409904286308942
2014-08-05,-0.005020920502091908
2014-08-06,-0.001682085786375187
2014-08-07,-0.005054759898904693
2014-08-08,0.002963590177815334
2014-08-11,0.013085690164626351
2014-08-12,-0.0004166666666667318
2014-08-13,0.01333889120466858
2014-08-14,0.002879473467708671
2014-08-15,0.004922067268252617
2014-08-18,0.011836734693877471
2014-08-19,0.013715207745058411
2014-08-20,0.0003979307600479043
2014-08-21,0.0003977724741446309
2014-08-22,0.007157057654075594
2014-08-25,0.0023687327279906523
2014-08-26,-0.006695549428909042
2014-08-27,0.012291831879460924
2014-08-28,0.001175088131609714
2014-08-29,0.0027386541471048353
2014-09-02,0.007803355442840498
2014-09-03,-0.04219899341850564
2014-09-04,-0.008488278092158352
2014-09-05,0.008560945780676565
2014-09-08,-0.006063055780113125
2014-09-09,-0.0036600244001626647
2014-09-10,0.030612244897959107
2014-09-11,0.00435643564356436
2014-09-12,0.0023659305993690705
2014-09-15,-0.0003933910306845867
2014-09-16,-0.00747737111373481
2014-09-17,0.007137192704202988
2014-09-18,0.0019685039370078705
2014-09-19,-0.008251473477406734
2014-09-22,0.0011885895404120106
2014-09-23,0.01543332014246146
2014-09-24,-0.008573655494933718
2014-09-25,-0.03812893081761015
2014-09-26,0.02942378422558245
2014-09-29,-0.006351726875744368
2014-09-30,0.006392329204954139
2014-10-01,-0.015482334259626862
2014-10-02,0.007258064516129092
2014-10-03,-0.002802241793434801
2014-10-06,0.0
2014-10-07,-0.008831794460056108
2014-10-08,0.020656136087484622
2014-10-09,0.0023809523809523725
2014-10-10,-0.0031670625494854
2014-10-13,-0.009134233518665602
2014-10-14,-0.010420841683366655
2014-10-15,-0.012150668286755817
2014-10-16,-0.013120131201312057
2014-10-17,0.014540922309929538
2014-10-20,0.02129402129402136
2014-10-21,0.027265437048917374
2014-10-22,0.0050741608118656245
2014-10-23,0.017864077669903056
2014-10-24,0.0038153376573826225
2014-10-27,-0.0011402508551880963
2014-10-28,0.015601217656012079
2014-10-29,0.0056200824278755945
2014-10-30,-0.003353204172876323
2014-10-31,0.009345794392523255
2014-11-03,0.012962962962963065
2014-11-04,-0.007312614259597949
2014-11-05,0.0025782688766113893
2014-11-06,-0.0014695077149154967
2014-11-07,0.002575423105224406
2014-11-10,-0.0014678899082568586
2014-11-11,0.008085262771039936
2014-11-12,0.013853445133065856
2014-11-13,0.014383315354189241
2014-11-14,0.012052463665366941
2014-11-17,-0.0017513134851138146
2014-11-18,0.012982456140350873
2014-11-19,-0.006927606511950124
2014-11-20,0.014300662713637724
2014-11-21,0.0013755158184320937
2014-11-24,0.018543956043955978
2014-11-25,-0.008766014834794333
2014-11-26,0.011904761904761862
2014-11-28,-0.0006722689075630006
2014-12-01,-0.03229061553985879
2014-12-02,-0.00382342718109141
2014-12-03,0.011165387299371998
2014-12-04,-0.003795721187025536
2014-12-05,-0.004156563907170119
2014-12-08,-0.022608695652173827
2014-12-09,0.01530249110320292
2014-12-10,-0.018927444794952786
2014-12-11,-0.0028581636298677937
2014-12-12,-0.01719813686850591
2014-12-15,-0.013488880787459023
2014-12-16,-0.01367331855136722
2014-12-17,0.02472836268265266
2014-12-18,0.029616087751371145
2014-12-19,-0.0074573863636363535
2014-12-22,0.010375670840787166
2014-12-23,-0.003541076487252104
2014-12-24,-0.00497512437810943
2014-12-26,0.017857142857142794
2014-12-29,-0.00070175438596487
2014-12-30,-0.012289325842696708
2014-12-31,-0.018841094916459245
2015-01-02,-0.009782608695652284
